lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1738443600,1738452483,1738495659,25.64,26.3,1008,78,21.52,NA,20,9000,1.54,320,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736038800,1736032846,1736075871,26.41,26.41,1011,83,23.29,NA,20,9000,0.51,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736848800,1736810648,1736853707,27.28,31.42,1009,89,25.31,NA,40,5000,2.06,0,201,Thunderstorm,thunderstorm with rain,11d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736848800,1736810648,1736853707,27.28,31.42,1009,89,25.31,NA,40,5000,2.06,0,502,Rain,heavy intensity rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737666000,1737674808,1737717922,26.07,26.07,1008,94,25.03,NA,20,8000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737133200,1737156321,1737199400,26.26,26.26,1011,89,24.3,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736719200,1736724228,1736767283,25.35,25.85,1010,73,20.16,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738764000,1738711692,1738754891,26.97,28.72,1010,69,20.8,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736053200,1736032846,1736075871,31.36,34.35,1010,55,21.24,NA,20,10000,1.54,280,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738152000,1738106858,1738150005,27.8,29.26,1011,61,19.59,NA,20,10000,3.6,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737626400,1737588395,1737631503,28.9,33.25,1007,74,23.8,NA,20,10000,2.57,230,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735930800,1735946421,1735989443,25.81,27.06,1010,100,25.81,NA,20,7000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738346400,1738366078,1738409246,26.16,26.16,1010,87,23.82,NA,100,NA,0.98,237,804,Clouds,overcast clouds,04n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736834400,1736810648,1736853707,30.29,32.98,1011,58,21.11,NA,40,10000,1.03,0,802,Clouds,scattered clouds,03d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737187200,1737156321,1737199400,28.82,32.34,1008,70,22.8,NA,20,10000,3.09,280,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737410400,1737415568,1737458664,24.92,25.92,1009,94,23.89,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737403200,1737415568,1737458664,25.67,26.62,1009,89,23.72,NA,20,10000,0.51,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737500400,1737501982,1737545084,25.4,26.45,1009,94,24.36,NA,20,9000,0.0,0,801,Clouds,few clouds,02n
